Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
60142,BEL AQUA 500ML PK 15 SACHE, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
60042,BEL AQUA 750ML PK 15, Household,Tin,9,10,5, No Tax, exclusive,,,,,,,,
60102,BEL AQUA BOTTLE 1.5 PK 6, Household,Tin,9,15,5, No Tax, exclusive,,,,,,,,
60068,BEL AQUA DISPENSER BOTTLE, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
60078,BEL AQUA SPARKLING PREMIUM 330ML X12, Household,Tin,37,38,5, No Tax, exclusive,,,,,,,,
60079,BEL AQUA SPARKLING PREMIUM 750ML X12, Household,Tin,55,56,5, No Tax, exclusive,,,,,,,,
3256555390746,BEL NORMANDE APPLE CRANBERRY WINE 750ML, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
3256553393145,BEL NORMANDE BLUE WINE 750ML, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
3104935391275,BEL NORMANDE SPARKLING APPLE 750ML, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
3104935391329,BEL NORMANDE SPARKLING RED GRAPE WINE 750ML, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
5054073011062,BEST IN APPLE JUICE 1LT, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
5027876862612,BEST IN BAKING POWDER 100G, Household,Tin,9,9.5,5, No Tax, exclusive,,,,,,,,
5027876862636,BEST IN BICARBONATE OF SODA BLUE 100G, Household,Tin,7,8,5, No Tax, exclusive,,,,,,,,
5027876861172,BEST IN BLACKCURRANT EXTRA JAM, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
5027876101766,BEST IN MIXED FRUIT JAM, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
5054073003814,BEST IN PLUM TOMATOES 400G, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
5027876861158,BEST IN RASPBERRY JAM, Household,Tin,12,14,5, No Tax, exclusive,,,,,,,,
5027876861134,BEST IN STRAWBERRY EXTRA JAM, Household,Tin,12,14,5, No Tax, exclusive,,,,,,,,
